id,name,city,state,lat,lon,source,geocode_status
0,NorthGate Brewing,Minneapolis,MN,44.977300,-93.265469,nominatim:city+state,ok
1,Against the Grain Brewery,Louisville,KY,38.255567,-85.744268,nominatim:name+city+state,ok
2,Jack's Abby Craft Lagers,Framingham,MA,42.277318,-71.416590,nominatim:city+state,ok
3,Mike Hess Brewing Company,San Diego,CA,32.717420,-117.162772,nominatim:city+state,ok
4,Fort Point Beer Company,San Francisco,CA,37.760967,-122.421689,nominatim:name+city+state,ok
5,COAST Brewing Company,Charleston,SC,32.873575,-79.972404,nominatim:name+city+state,ok
6,Great Divide Brewing Company,Denver,CO,39.770196,-104.979878,nominatim:name+city+state,ok
7,Tapistry Brewing,Bridgman,MI,41.942756,-86.556157,nominatim:name+city+state,ok
8,Big Lake Brewing,Holland,MI,42.791494,-86.107915,nominatim:name+city+state,ok
9,The Mitten Brewing Company,Grand Rapids,MI,42.985168,-85.681063,nominatim:name+city+state,ok
10,Brewery Vivant,Grand Rapids,MI,42.959885,-85.645953,nominatim:name+city+state,ok
11,Petoskey Brewing,Petoskey,MI,45.396839,-84.903056,nominatim:name+city+state,ok
12,Blackrocks Brewery,Marquette,MI,46.546156,-87.414689,nominatim:name+city+state,ok
13,Perrin Brewing Company,Comstock Park,MI,43.043644,-85.679489,nominatim:city+state,ok
14,Witch's Hat Brewing Company,South Lyon,MI,42.454591,-83.650356,nominatim:name+city+state,ok
15,Founders Brewing Company,Grand Rapids,MI,42.963242,-85.667864,nominatim:city+state,ok
16,Flat 12 Bierwerks,Indianapolis,IN,39.768333,-86.158350,nominatim:city+state,ok
17,Tin Man Brewing Company,Evansville,IN,37.970495,-87.571564,nominatim:city+state,ok
18,Black Acre Brewing Co.,Indianapolis,IN,39.770984,-86.071205,nominatim:name+city+state,ok
19,Brew Link Brewing,Plainfield,IN,39.703872,-86.399477,nominatim:city+state,ok
20,Bare Hands Brewery,Granger,IN,41.735251,-86.106276,nominatim:city+state,ok
21,Three Pints Brewing,Martinsville,IN,39.427825,-86.428328,nominatim:city+state,ok
22,Four Fathers Brewing,Valparaiso,IN,41.467255,-87.060449,nominatim:city+state,ok
23,Indiana City Brewing,Indianapolis,IN,39.768333,-86.158350,nominatim:city+state,ok
24,Burn 'Em Brewing,Michigan City,IN,41.738527,-86.828021,nominatim:name+city+state,ok
25,Sun King Brewing Company,Indianapolis,IN,39.768333,-86.158350,nominatim:city+state,ok
26,Evil Czech Brewery,Mishawaka,IN,41.693897,-86.182400,nominatim:name+city+state,ok
27,450 North Brewing Company,Columbus,IN,39.201440,-85.921380,nominatim:city+state,ok
28,Taxman Brewing Company,Bargersville,IN,39.520882,-86.167766,nominatim:city+state,ok
29,Cedar Creek Brewery,Seven Points,TX,32.320890,-96.213402,nominatim:city+state,ok
30,SanTan Brewing Company,Chandler,AZ,33.306203,-111.841185,nominatim:city+state,ok
31,Boulevard Brewing Company,Kansas City,MO,39.081964,-94.596823,nominatim:name+city+state,ok
32,James Page Brewing Company,Stevens Point,WI,44.523447,-89.584446,nominatim:city+state,ok
33,The Dudes' Brewing Company,Torrance,CA,33.837139,-118.341361,nominatim:city+state,ok
34,Ballast Point Brewing Company,San Diego,CA,32.717420,-117.162772,nominatim:city+state,ok
35,Anchor Brewing Company,San Francisco,CA,37.763120,-122.400896,nominatim:name+city+state,ok
36,Figueroa Mountain Brewing Company,Buellton,CA,34.610690,-120.202223,nominatim:name+city+state,ok
37,Avery Brewing Company,Boulder,CO,40.062584,-105.204765,nominatim:name+city+state,ok
38,Twisted X Brewing Company,Dripping Springs,TX,30.165093,-98.084735,nominatim:name+city+state,ok
39,Gonzo's BiggDogg Brewing,Kalamazoo,MI,42.290899,-85.590108,nominatim:name+city+state,ok
40,Big Muddy Brewing,Murphysboro,IL,37.784292,-89.331619,nominatim:name+city+state,ok
41,Lost Nation Brewing,East Fairfield,VT,44.784493,-72.858467,nominatim:city+state,ok
42,Rising Tide Brewing Company,Portland,ME,43.657361,-70.258662,nominatim:city+state,ok
43,Rivertowne Brewing Company,Export,PA,40.418124,-79.625599,nominatim:city+state,ok
44,Revolution Brewing Company,Chicago,IL,41.875562,-87.624421,nominatim:city+state,ok
45,Tallgrass Brewing Company,Manhattan,KS,39.183608,-96.571669,nominatim:city+state,ok
46,Sixpoint Craft Ales,Brooklyn,NY,40.652601,-73.949721,nominatim:city+state,ok
47,White Birch Brewing,Hooksett,NH,43.093959,-71.462516,nominatim:city+state,ok
48,Firestone Walker Brewing Company,Paso Robles,CA,35.595879,-120.694080,nominatim:name+city+state,ok
49,SweetWater Brewing Company,Atlanta,GA,33.808364,-84.380692,nominatim:name+city+state,ok
50,Flying Mouse Brewery,Troutville,VA,37.418190,-79.874769,nominatim:city+state,ok
51,Upslope Brewing Company,Boulder,CO,40.063028,-105.279304,nominatim:name+city+state,ok
52,Pipeworks Brewing Company,Chicago,IL,41.875562,-87.624421,nominatim:city+state,ok
53,Bent Brewstillery,Roseville,MN,45.024544,-93.173830,nominatim:name+city+state,ok
54,Flesk Brewing Company,Lombard,IL,41.886469,-88.020154,nominatim:city+state,ok
55,Pollyanna Brewing Company,Lemont,IL,41.675977,-87.997884,nominatim:name+city+state,ok
56,BuckleDown Brewing,Lyons,IL,41.805934,-87.837148,nominatim:name+city+state,ok
57,Destihl Brewery,Bloomington,IL,40.479783,-88.993915,nominatim:city+state,ok
58,Summit Brewing Company,St. Paul,MN,44.913988,-93.139598,nominatim:name+city+state,ok
59,Latitude 42 Brewing Company,Portage,MI,42.201154,-85.580002,nominatim:city+state,ok
60,4 Hands Brewing Company,Saint Louis,MO,38.614850,-90.197611,nominatim:name+city+state,ok
61,Surly Brewing Company,Brooklyn Center,MN,45.074854,-93.329630,nominatim:city+state,ok
62,Against The Grain Brewery,Louisville,KY,38.255567,-85.744268,nominatim:name+city+state,ok
63,Crazy Mountain Brewing Company,Edwards,CO,39.624457,-106.630852,nominatim:city+state,ok
64,SlapShot Brewing Company,Chicago,IL,41.875562,-87.624421,nominatim:city+state,ok
65,Mikerphone Brewing,Chicago,IL,41.875562,-87.624421,nominatim:city+state,ok
66,Freetail Brewing Company,San Antonio,TX,29.601742,-98.561232,nominatim:name+city+state,ok
67,3 Daughters Brewing,St Petersburg,FL,27.769048,-82.662598,nominatim:name+city+state,ok
68,Red Shedman Farm Brewery and Hop...,Mt. Airy,MD,39.376592,-77.154908,nominatim:city+state,ok
69,Appalachian Mountain Brewery,Boone,NC,36.203376,-81.668433,nominatim:name+city+state,ok
70,Birdsong Brewing Company,Charlotte,NC,35.230650,-80.826528,nominatim:name+city+state,ok
71,Union Craft Brewing,Baltimore,MD,39.336635,-76.644770,nominatim:name+city+state,ok
72,Atwater Brewery,Detroit,MI,42.337292,-83.018489,nominatim:name+city+state,ok
73,Ale Asylum,Madison,WI,43.074690,-89.384166,nominatim:city+state,ok
74,Two Brothers Brewing Company,Warrenville,IL,41.817930,-88.174097,nominatim:city+state,ok
75,Bent Paddle Brewing Company,Duluth,MN,46.783829,-92.105268,nominatim:city+state,ok
76,Bell's Brewery,Kalamazoo,MI,42.284321,-85.455114,nominatim:name+city+state,ok
77,Blue Owl Brewing,Austin,TX,30.254624,-97.716869,nominatim:name+city+state,ok
78,Speakasy Ales & Lagers,San Francisco,CA,37.779259,-122.419329,nominatim:city+state,ok
79,Black Tooth Brewing Company,Sheridan,WY,44.794754,-106.822269,nominatim:city+state,ok
80,Hopworks Urban Brewery,Portland,OR,45.496875,-122.634843,nominatim:name+city+state,ok
81,Epic Brewing,Denver,CO,39.739236,-104.984862,nominatim:city+state,ok
82,New Belgium Brewing Company,Fort Collins,CO,40.592871,-105.068551,nominatim:name+city+state,ok
83,Sierra Nevada Brewing Company,Chico,CA,39.722587,-121.815347,nominatim:name+city+state,ok
84,Keweenaw Brewing Company,Houghton,MI,47.122068,-88.568767,nominatim:name+city+state,ok
85,Brewery Terra Firma,Traverse City,MI,44.760648,-85.616598,nominatim:city+state,ok
86,Grey Sail Brewing Company,Westerly,RI,41.377600,-71.827291,nominatim:city+state,ok
87,Kirkwood Station Brewing Company,Kirkwood,MO,38.580071,-90.406918,nominatim:city+state,ok
88,Goose Island Brewing Company,Chicago,IL,41.875562,-87.624421,nominatim:city+state,ok
89,Broad Brook Brewing LLC,East Windsor,CT,41.915639,-72.612992,nominatim:city+state,ok
90,The Lion Brewery,Wilkes-Barre,PA,41.255105,-75.857478,nominatim:name+city+state,ok
91,Madtree Brewing Company,Cincinnati,OH,39.101454,-84.512460,nominatim:city+state,ok
92,Jackie O's Pub & Brewery,Athens,OH,39.357562,-82.060956,nominatim:city+state,ok
93,Rhinegeist Brewery,Cincinnati,OH,39.117132,-84.519901,nominatim:name+city+state,ok
94,Warped Wing Brewing Company,Dayton,OH,39.759602,-84.185900,nominatim:name+city+state,ok
95,Blackrocks Brewery,Marquette,MA,46.546156,-87.414689,nominatim:name+city+state,ok
96,Catawba Valley Brewing Company,Morganton,NC,35.745429,-81.687084,nominatim:city+state,ok
97,Tröegs Brewing Company,Hershey,PA,40.285029,-76.653466,nominatim:city+state,ok
98,Mission Brewery,San Diego,CA,32.707093,-117.151563,nominatim:name+city+state,ok
99,Christian Moerlein Brewing Company,Cincinnati,OH,39.101454,-84.512460,nominatim:city+state,ok
